timestamp,power
2026-02-21T19:43:38.487454,0
2026-02-21T19:43:40.520891,0
2026-02-21T19:43:42.551252,0
2026-02-21T19:43:44.583903,0
2026-02-21T19:43:46.622347,0
2026-02-21T19:43:48.656548,0
2026-02-21T19:43:50.688728,0
2026-02-21T19:43:52.720530,0
2026-02-21T19:43:54.750377,0
2026-02-21T19:43:56.785245,0
2026-02-21T19:43:58.816500,0
2026-02-21T19:44:00.852115,0
2026-02-21T19:44:02.880894,0
2026-02-21T19:44:04.910499,0
2026-02-21T19:44:06.941135,0
2026-02-21T19:44:08.970602,0
2026-02-21T19:44:11.000405,0
2026-02-21T19:44:13.087890,0
2026-02-21T19:44:15.121234,0
2026-02-21T19:44:17.151102,0
2026-02-21T19:44:19.311616,0
2026-02-21T19:44:21.343526,0
2026-02-21T19:44:23.373573,0
2026-02-21T19:44:25.403335,0
2026-02-21T19:44:27.434007,0
2026-02-21T19:44:29.464920,0
2026-02-21T19:44:31.500125,0
2026-02-21T19:44:33.529720,0
2026-02-21T19:44:35.608121,0
2026-02-21T19:44:37.643362,0
